Attributes
bonds_bond_type[X,Y,Y,Y]:  7.22942e-01 ; iterations: [ 7.22942e-01 ]
atoms_atom_type[Y,X,Y]  :  5.51952e-01 ; iterations: [ 5.51952e-01 ]
atoms_charge[Y,X,Y]     :  2.43562e-01 ; iterations: [ 2.43562e-01 ]
atoms_charge[Y,Y,Y]     :  2.04082e-01 ; iterations: [ 2.04082e-01 ]
atoms_atom_type[Y,Y,Y]  :  1.66042e-01 ; iterations: [ 1.66042e-01 ]
bonds_bond_type[Y,Y,Y,Y]:  1.25558e-01 ; iterations: [ 1.25558e-01 ]
atoms_element[Y,X,Y]    :  1.23884e-01 ; iterations: [ 1.23884e-01 ]
drugs_ind1[X,Y]         :  4.42907e-03 ; iterations: [ 4.42907e-03 ]

Attributes summed
bonds_bond_type         :  8.48500e-01 ; iterations: [ 8.48500e-01 ]
atoms_atom_type         :  7.17993e-01 ; iterations: [ 7.17993e-01 ]
atoms_charge            :  4.47644e-01 ; iterations: [ 4.47644e-01 ]
atoms_element           :  1.23884e-01 ; iterations: [ 1.23884e-01 ]
drugs_ind1              :  4.42907e-03 ; iterations: [ 4.42907e-03 ]

Aggregators
sum                     :  8.11437e-01 ; iterations: [ 8.11437e-01 ]
max                     :  4.04037e-01 ; iterations: [ 4.04037e-01 ]
projection2_sum         :  2.60748e-01 ; iterations: [ 2.60748e-01 ]
mode                    :  2.49442e-01 ; iterations: [ 2.49442e-01 ]
count                   :  1.56090e-01 ; iterations: [ 1.56090e-01 ]
projection3_mode        :  1.25558e-01 ; iterations: [ 1.25558e-01 ]
projection2_min         :  1.09375e-01 ; iterations: [ 1.09375e-01 ]
min                     :  2.57623e-02 ; iterations: [ 2.57623e-02 ]

